plot,adjusted_height,sample_year,sample_date,latitude,longitude,fruticose_lichen_total_cover,foliose_lichen_total_cover,multiform_lichen_total_cover,crustose_lichen_total_cover,lichen_total_cover,dark_lichen_4bin_total_cover,light_lichen_4bin_total_cover,yellow_lichen_4bin_total_cover,dark_lichen_3bin_total_cover,light_lichen_3bin_total_cover,dark_lichen_2bin_total_cover,light_lichen_2bin_total_cover,black_lichen_8bin_total_cover,brown_lichen_8bin_total_cover,grey_lichen_8bin_total_cover,greygreen_lichen_8bin_total_cover,green_lichen_8bin_total_cover,orange_lichen_8bin_total_cover,white_lichen_8bin_total_cover,yellow_lichen_8bin_total_cover,lichen_volume
10M,5.58,2003,2003-06-28,65.878985,-163.691016,11,4,0,0,15,6.5,3,5.5,6.5,8.5,6.5,8.5,0,3.5,1,2,0,0,3,5.5,83.7
10P,4.431141805,2003,2003-06-28,65.872741,-163.526677,13.295454545454545,1.7045454545454546,0,0,15,6.136363636363636,2.3863636363636362,6.477272727272727,6.136363636363636,8.863636363636363,6.136363636363636,8.863636363636363,0,5.113636363636363,1.0227272727272727,0,0,0,2.3863636363636362,6.477272727272727,66.467127075
11L,5.090128913,2003,2003-06-15,65.784953,-164.266441,21.153846153846153,2.8846153846153846,0,0.9615384615384616,24.999999999999996,7.692307692307692,1.9230769230769231,15.384615384615385,7.692307692307692,17.307692307692307,7.692307692307692,17.307692307692307,0,3.8461538461538463,2.8846153846153846,0.9615384615384616,0,0,1.9230769230769231,15.384615384615385,127.253222825
11L-b,6.436460576,2003,2003-07-16,65.887461,-164.151648,9.722222222222221,2.7777777777777777,0,0,12.5,6.25,1.3888888888888888,4.861111111111111,6.25,6.25,6.25,6.25,0,2.0833333333333335,2.083333333333333,1.3888888888888888,0.6944444444444444,0,1.3888888888888888,4.861111111111111,80.4557572
11M,7.719207936,2003,2003-07-16,65.93227,-163.979536,21.541666666666664,0,0,0.4583333333333333,21.999999999999996,9.625,4.125,8.25,9.625,12.375,9.625,12.375,0,2.75,6.416666666666666,0,0.4583333333333333,0,4.125,8.25,169.822574592
11P,5.241779965,2003,2003-06-17,65.894269,-164.22197,3.6666666666666665,0.3333333333333333,0,0,4,1.7777777777777777,0.6666666666666666,1.5555555555555556,1.7777777777777777,2.2222222222222223,1.7777777777777777,2.2222222222222223,0,0.4444444444444444,1,0.3333333333333333,0,0,0.6666666666666666,1.5555555555555556,20.96711986
12L,5.458805496,2003,2003-06-15,65.783762,-164.486007,25.833333333333336,4.166666666666667,0,0,30.000000000000004,16.666666666666668,4.166666666666667,9.166666666666668,16.666666666666668,13.333333333333336,16.666666666666668,13.333333333333336,0,5,8.333333333333334,2.5,0.8333333333333334,0,4.166666666666667,9.166666666666668,163.76416488
12M,5.158376104,2003,2003-06-18,65.897208,-164.733827,8.955223880597014,1.044776119402985,0,0,10,3.731343283582089,2.5373134328358207,3.731343283582089,3.731343283582089,6.26865671641791,3.731343283582089,6.26865671641791,0,1.4925373134328357,1.7910447761194028,0.29850746268656714,0.14925373134328357,0,2.5373134328358207,3.731343283582089,51.58376104
12P,7.154254536,2003,2003-08-01,65.89046,-164.820435,17,0,0,0,17,6.999999999999999,3.333333333333333,6.666666666666666,6.999999999999999,10,6.999999999999999,10,0,2.333333333333333,4.666666666666666,0,0,0,3.333333333333333,6.666666666666666,121.622327112
12S,9.015717183,2003,2003-06-15,65.817863,-164.491773,56.57534246575342,12.465753424657533,0,0.958904109589041,70,35.47945205479452,6.712328767123287,27.80821917808219,35.47945205479452,34.52054794520548,35.47945205479452,34.52054794520548,0,19.17808219178082,15.342465753424657,0.958904109589041,0,0,6.712328767123287,27.80821917808219,631.10020281
12S-b,5.608039763,2003,2003-07-12,65.826693,-164.498001,30.447761194029848,9.552238805970148,0,0,40,19.104477611940297,5.970149253731343,14.925373134328357,19.104477611940297,20.8955223880597,19.104477611940297,20.8955223880597,0,14.328358208955223,3.5820895522388057,0,1.1940298507462686,0,5.970149253731343,14.925373134328357,224.32159052
13L,4.210430679,2003,2003-07-16,65.919562,-163.831553,14.545454545454545,1.4545454545454546,0,0,16,7.636363636363636,2.1818181818181817,6.181818181818182,7.636363636363636,8.363636363636363,7.636363636363636,8.363636363636363,0,4,3.2727272727272725,0.36363636363636365,0,0,2.1818181818181817,6.181818181818182,67.366890864
13L-b,8.474072593,2003,2003-07-16,65.873342,-163.81458,12.444444444444443,3.259259259259259,0,0.2962962962962963,15.999999999999998,7.4074074074074066,2.962962962962963,5.62962962962963,7.4074074074074066,8.592592592592592,7.4074074074074066,8.592592592592592,0,1.7777777777777777,3.8518518518518516,1.4814814814814814,0.2962962962962963,0,2.962962962962963,5.62962962962963,135.585161488
13M,6.255182252,2003,2003-06-17,66.01912,-164.028728,13.285714285714285,1.7142857142857142,0,0,14.999999999999998,6.857142857142857,2.142857142857143,6,6.857142857142857,8.142857142857142,6.857142857142857,8.142857142857142,0,1.2857142857142856,4.285714285714286,1.2857142857142856,0,0,2.142857142857143,6,93.82773378
13P,7.042017841,2003,2003-07-16,65.89951,-163.855339,1.4166666666666667,0.5833333333333333,0,0,2,1,0.25,0.75,1,1,1,1,0,0,0.6666666666666666,0.3333333333333333,0,0,0.25,0.75,14.084035682
14M,5.737232753,2003,2003-06-17,65.944372,-164.342712,7.478260869565217,0.5217391304347826,0,0,7.999999999999999,2.608695652173913,1.391304347826087,4,2.608695652173913,5.391304347826087,2.608695652173913,5.391304347826087,0,0.6956521739130435,1.9130434782608696,0,0,0,1.391304347826087,4,45.897862024
14P,5.246457244,2003,2003-06-17,65.972015,-164.260079,5.046511627906977,1.7906976744186047,0,0.16279069767441862,7,3.2558139534883725,0.8139534883720931,2.930232558139535,3.2558139534883725,3.7441860465116283,3.2558139534883725,3.7441860465116283,0,0.48837209302325585,1.6279069767441863,0.6511627906976745,0.48837209302325585,0,0.8139534883720931,2.930232558139535,36.725200708
15L,8.445777881,2003,2003-07-25,66.001546,-164.575233,24.878048780487806,5.121951219512195,0,0,30,15,5.487804878048781,9.512195121951219,15,15,14.999999999999998,15,0,7.682926829268292,6.219512195121951,0.7317073170731707,0.36585365853658536,0,5.487804878048781,9.512195121951219,253.37333643
15M,7.819102584,2003,2003-07-20,66.068875,-164.756888,13.977272727272727,1.0227272727272727,0,0,15,5.113636363636363,2.3863636363636362,7.499999999999999,5.113636363636363,9.886363636363635,5.113636363636363,9.886363636363635,0,1.0227272727272727,3.75,0.3409090909090909,0,0,2.3863636363636362,7.499999999999999,117.28653876
15P,8.267120993,2003,2003-07-25,66.052911,-164.513757,31.59550561797753,5.404494382022472,0,0,37,17.876404494382022,7.067415730337079,12.0561797752809,17.876404494382022,19.123595505617978,17.876404494382022,19.123595505617978,0,7.067415730337079,7.898876404494382,2.0786516853932584,0.8314606741573034,0,7.067415730337079,12.0561797752809,305.883476741
15S,8.509156871,2003,2003-08-01,66.004937,-164.58042,42.1948051948052,14.805194805194805,0,0,57,25.16883116883117,11.103896103896105,20.72727272727273,25.16883116883117,31.831168831168835,25.16883116883117,31.831168831168835,0,12.584415584415584,11.844155844155845,0.7402597402597403,0,0,11.103896103896105,20.72727272727273,485.021941647
15S-b,10.16720469,2003,2003-08-01,66.003885,-164.579503,46.45161290322581,13.548387096774194,0,0,60,25.806451612903224,10.32258064516129,23.870967741935484,25.806451612903224,34.193548387096776,25.806451612903224,34.193548387096776,0,14.838709677419354,10.32258064516129,0,0.6451612903225806,0,10.32258064516129,23.870967741935484,610.0322814
16M,8.374980091,2003,2003-06-18,66.060271,-164.903981,7,0,0,0,7,3,1.1666666666666665,2.833333333333333,3,3.9999999999999996,3,3.9999999999999996,0,0.8333333333333333,2.1666666666666665,0,0,0,1.1666666666666665,2.833333333333333,58.624860637
16P,7.515151492,2003,2003-06-18,65.981623,-165.091032,5.975609756097561,1.024390243902439,0,0,7,2.731707317073171,1.5365853658536586,2.731707317073171,2.731707317073171,4.2682926829268295,2.731707317073171,4.2682926829268295,0,0.5121951219512195,1.707317073170732,0.5121951219512195,0,0,1.5365853658536586,2.731707317073171,52.606060444
17M,7.820279145,2003,2003-07-20,66.244662,-165.174755,16.585365853658537,0.4146341463414634,0,0,17,6.2195121951219505,2.4878048780487805,8.292682926829269,6.2195121951219505,10.78048780487805,6.2195121951219505,10.78048780487805,0,1.6585365853658536,4.560975609756097,0,0,0,2.4878048780487805,8.292682926829269,132.944745465
17P,6.796321901,2003,2003-07-20,66.243417,-165.141072,5.934782608695652,1.065217391304348,0,0,7,3.347826086956522,0.9130434782608696,2.739130434782609,3.347826086956522,3.6521739130434785,3.3478260869565224,3.6521739130434785,0,1.065217391304348,1.5217391304347827,0.6086956521739131,0.15217391304347827,0,0.9130434782608696,2.739130434782609,47.574253307
18M,8.09705629,2003,2003-07-20,66.176813,-165.081645,27,0,0,0,27,11.25,6.75,9,11.25,15.75,11.25,15.75,0,5.25,6,0,0,0,6.75,9,218.62051983
18P,7.987565365,2003,2003-07-31,66.339376,-164.622048,10.352941176470587,1.6470588235294117,0,0,11.999999999999998,5.1764705882352935,2.5882352941176467,4.235294117647059,5.1764705882352935,6.823529411764706,5.1764705882352935,6.823529411764706,0,1.8823529411764706,2.5882352941176467,0.23529411764705882,0.47058823529411764,0,2.5882352941176467,4.235294117647059,95.85078438
19M,8.493458936,2003,2003-07-20,66.180659,-164.594883,11.636363636363637,0.36363636363636365,0,0,12,4.727272727272727,2.1818181818181817,5.090909090909091,4.727272727272727,7.2727272727272725,4.727272727272727,7.2727272727272725,0,1.0909090909090908,3.2727272727272725,0.36363636363636365,0,0,2.1818181818181817,5.090909090909091,101.921507232
19P,7.76554291,2003,2003-07-31,66.265953,-164.403228,15.333333333333332,1.6666666666666665,0,0,17,6.333333333333333,4,6.666666666666666,6.333333333333333,10.666666666666666,6.333333333333333,10.666666666666666,0,2,3.6666666666666665,0.6666666666666666,0,0,4,6.666666666666666,132.01422947
1L,4.957039373,2003,2003-06-13,65.369902,-163.506802,34.94117647058824,10.058823529411764,0,0,45,24.88235294117647,6.882352941176471,13.23529411764706,24.88235294117647,20.11764705882353,24.88235294117647,20.11764705882353,0,11.117647058823529,10.058823529411764,2.1176470588235294,1.5882352941176472,0,6.882352941176471,13.23529411764706,223.066771785
1M,7.084293072,2003,2003-06-19,65.430102,-163.42405,39.16666666666667,0,0,0.8333333333333334,40.00000000000001,15,5.833333333333334,19.166666666666668,15,25,15.000000000000002,25,0,6.666666666666667,7.5,0,0.8333333333333334,0,5.833333333333334,19.166666666666668,283.37172288
1P,6.994956167,2003,2003-06-19,65.354362,-163.853338,25,0,0,0,25,7.03125,4.6875,13.28125,7.03125,17.96875,7.03125,17.96875,0,3.125,3.90625,0,0,0,4.6875,13.28125,174.873904175
1S,3.908037113,2003,2003-07-12,65.334427,-163.673024,36.75675675675676,3.2432432432432434,0,0,40,18.37837837837838,6.486486486486487,15.135135135135135,18.37837837837838,21.62162162162162,18.37837837837838,21.62162162162162,0,10.81081081081081,6.486486486486487,1.0810810810810811,0,0,6.486486486486487,15.135135135135135,156.32148452
1S-b,6.018301372,2003,2003-07-12,65.307616,-163.71419,19.363636363636363,7.636363636363636,0,0,27,15.818181818181817,3,8.181818181818182,15.818181818181817,11.181818181818182,15.818181818181815,11.181818181818182,0,7.09090909090909,5.454545454545454,2.454545454545454,0.8181818181818181,0,3,8.181818181818182,162.494137044
20P,9.316707167,2003,2003-07-31,66.341844,-164.20328,17.857142857142858,2.142857142857143,0,0,20,7.142857142857143,5.714285714285714,7.142857142857143,7.142857142857143,12.857142857142858,7.142857142857143,12.857142857142858,0,2.857142857142857,3.2142857142857144,1.0714285714285714,0,0,5.714285714285714,7.142857142857143,186.33414334
21M,9.903974162,2003,2003-07-31,66.41995,-164.401726,14.628571428571428,1.3714285714285714,0,0,16,5.485714285714286,3.657142857142857,6.857142857142857,5.485714285714286,10.514285714285714,5.485714285714286,10.514285714285714,0,1.8285714285714285,3.2,0.45714285714285713,0,0,3.657142857142857,6.857142857142857,158.463586592
21P,9.210340664,2003,2003-07-31,66.383847,-164.243385,14.25,0.75,0,0,15,5.25,3.375,6.375,5.25,9.75,5.25,9.75,0,1.5,3.375,0.375,0,0,3.375,6.375,138.15510996
2L,4.377608212,2003,2003-06-13,65.364715,-163.339153,8.732394366197184,1.267605633802817,0,0,10,5.211267605633802,1.6901408450704225,3.098591549295775,5.211267605633802,4.788732394366198,5.211267605633803,4.788732394366198,0,2.9577464788732395,1.971830985915493,0.14084507042253522,0.14084507042253522,0,1.6901408450704225,3.098591549295775,43.77608212
2M,7.497743002,2003,2003-06-19,65.44355,-162.923706,32.30769230769231,0.8974358974358975,0,1.794871794871795,35,17.05128205128205,5.384615384615385,12.564102564102564,17.05128205128205,17.94871794871795,17.05128205128205,17.94871794871795,0,4.487179487179487,9.871794871794872,0.8974358974358975,1.794871794871795,0,5.384615384615385,12.564102564102564,262.42100507
2P,5.707869933,2003,2003-07-11,65.369731,-163.102319,10.770833333333334,0.22916666666666666,0,0,11,4.583333333333333,1.375,5.041666666666667,4.583333333333333,6.416666666666667,4.583333333333333,6.416666666666667,0,2.75,1.8333333333333333,0,0,0,1.375,5.041666666666667,62.786569263
2S,7.201093271,2003,2003-06-13,65.279474,-162.874745,64.04494382022472,10.95505617977528,0,0,75,32.865168539325836,16.01123595505618,26.123595505617974,32.865168539325836,42.13483146067415,32.865168539325836,42.13483146067415,0,12.640449438202246,20.224719101123593,0,0,0,16.01123595505618,26.123595505617974,540.081995325
2S-b,5.906048145,2003,2003-07-11,65.448754,-163.097658,54.97872340425532,13.021276595744682,0,0,68,27.489361702127663,18.808510638297875,21.70212765957447,27.489361702127663,40.51063829787235,27.489361702127663,40.51063829787235,0,13.021276595744682,13.021276595744682,0.723404255319149,0.723404255319149,0,18.808510638297875,21.70212765957447,401.61127386
3L,7.455905106,2003,2003-07-14,65.484256,-163.643857,24.342105263157897,0,0,0.6578947368421053,25.000000000000004,7.894736842105264,6.578947368421053,10.526315789473685,7.894736842105264,17.10526315789474,7.894736842105264,17.10526315789474,0,3.2894736842105265,3.947368421052632,0,0.6578947368421053,0,6.578947368421053,10.526315789473685,186.39762765
3M,8.528019071,2003,2003-07-03,65.530116,-163.964301,22.560975609756095,2.4390243902439024,0,0,24.999999999999996,7.926829268292683,5.48780487804878,11.585365853658537,7.926829268292683,17.073170731707318,7.926829268292683,17.073170731707318,0,1.8292682926829267,4.878048780487805,1.2195121951219512,0,0,5.48780487804878,11.585365853658537,213.200476775
3P,6.91258382,2003,2003-07-03,65.536773,-164.080623,6.068965517241379,1.9310344827586206,0,0,8,2.206896551724138,0.8275862068965517,4.9655172413793105,2.206896551724138,5.793103448275862,2.206896551724138,5.793103448275862,0,0,1.6551724137931034,0.5517241379310345,0,0,0.8275862068965517,4.9655172413793105,55.30067056
3S-b,8.123720135,2003,2003-07-14,65.487544,-163.687406,49.43181818181818,8.568181818181818,0,0,58,24.386363636363633,11.204545454545453,22.409090909090907,24.386363636363633,33.61363636363636,24.386363636363633,33.61363636363636,0,11.863636363636363,12.522727272727272,0,0,0,11.204545454545453,22.409090909090907,471.17576783
3S-c,6.918467954,2003,2003-07-03,65.562935,-163.85653,44.916666666666664,10.083333333333332,0,0,55,17.416666666666664,11.916666666666666,25.666666666666664,17.416666666666664,37.58333333333333,17.416666666666664,37.58333333333333,0,5.5,10.083333333333332,1.8333333333333333,0,0,11.916666666666666,25.666666666666664,380.51573747
4L,5.697236512,2003,2003-06-19,65.509785,-163.155502,32.093023255813954,7.441860465116279,0,0.46511627906976744,40,14.883720930232558,9.30232558139535,15.813953488372093,14.883720930232558,25.116279069767444,14.883720930232558,25.116279069767444,0,6.511627906976744,6.976744186046512,0.46511627906976744,0.9302325581395349,0,9.30232558139535,15.813953488372093,227.88946048
4M,8.599660105,2003,2003-07-29,65.573739,-163.312513,9.183673469387756,0.8163265306122449,0,0,10,3.673469387755102,2.6530612244897958,3.673469387755102,3.673469387755102,6.326530612244898,3.673469387755102,6.326530612244898,0,1.4285714285714286,2.0408163265306123,0.20408163265306123,0,0,2.6530612244897958,3.673469387755102,85.99660105
4P,6.356965549,2003,2003-07-06,65.498911,-163.496931,15.272727272727273,5.7272727272727275,0,0,21,9.927272727272728,3.8181818181818183,7.254545454545455,9.927272727272728,11.072727272727274,9.927272727272728,11.072727272727274,0,4.963636363636364,3.4363636363636365,0.7636363636363637,0.7636363636363637,0,3.8181818181818183,7.254545454545455,133.496276529
4S,7.568045186,2003,2003-07-29,65.504791,-163.43965,62.87755102040816,16.122448979591837,0,0,79,40.30612244897959,9.673469387755102,29.020408163265305,40.30612244897959,38.69387755102041,40.30612244897959,38.69387755102041,0,20.959183673469386,19.346938775510203,0,0,0,9.673469387755102,29.020408163265305,597.875569694
5L,2.201104568,2003,2003-07-09,65.797259,-162.74411,12.073170731707318,2.926829268292683,0,0,15,5.853658536585366,2.926829268292683,6.219512195121951,5.853658536585366,9.146341463414634,5.853658536585366,9.146341463414634,0,4.024390243902439,1.829268292682927,0,0,0,2.926829268292683,6.219512195121951,33.01656852
5M,4.975,2003,2003-07-09,65.821323,-162.740055,6.608695652173913,1.391304347826087,0,0,8,4.869565217391305,0.34782608695652173,2.782608695652174,4.869565217391305,3.1304347826086953,4.869565217391305,3.1304347826086953,0,2.4347826086956523,1.391304347826087,1.0434782608695652,0,0,0.34782608695652173,2.782608695652174,39.8
5P,3.68,2003,2003-07-30,65.622105,-162.944943,1.9047619047619047,0.5952380952380952,0,0,2.5,1.5476190476190474,0.23809523809523808,0.7142857142857142,1.5476190476190474,0.9523809523809523,1.5476190476190474,0.9523809523809523,0,0,1.0714285714285714,0.47619047619047616,0,0,0.23809523809523808,0.7142857142857142,9.2
5S,2.513653539,2003,2003-06-14,65.800391,-162.969722,21.486486486486488,8.513513513513514,0,0,30,14.594594594594595,3.6486486486486487,11.756756756756758,14.594594594594595,15.405405405405407,14.594594594594595,15.405405405405407,0,8.91891891891892,5.27027027027027,0.40540540540540543,0,0,3.6486486486486487,11.756756756756758,75.40960617
5S-b,2.218764839,2003,2003-07-09,65.770211,-163.254926,40.36734693877551,2.63265306122449,0,0,43,17.551020408163264,7.020408163265306,18.428571428571427,17.551020408163264,25.448979591836732,17.551020408163264,25.448979591836732,0,15.795918367346939,1.7551020408163265,0,0,0,7.020408163265306,18.428571428571427,95.406888077
6L,6.443755207,2003,2003-07-30,65.660943,-163.232321,18.8125,2.1875,0,0,21,6.125,7,7.875,6.125,14.875,6.125,14.875,0,3.0625,3.0625,0,0,0,7,7.875,135.318859347
6L-b,3.463195056,2003,2003-07-09,65.767679,-163.284468,10.64,3.3600000000000003,0,0,14,5.880000000000001,2.5200000000000005,5.6000000000000005,5.880000000000001,8.120000000000001,5.880000000000001,8.120000000000001,0,4.760000000000001,0.28,0.56,0.28,0,2.5200000000000005,5.6000000000000005,48.484730784
6M,7.207638937,2003,2003-07-24,65.653004,-163.45857,24.056603773584907,0,0,0.9433962264150944,25,8.962264150943396,6.60377358490566,9.433962264150944,8.962264150943396,16.037735849056602,8.962264150943396,16.037735849056602,0,2.3584905660377355,5.660377358490566,0,0.9433962264150944,0,6.60377358490566,9.433962264150944,180.190973425
6P,7.076616179,2003,2003-07-30,65.61622,-163.43405,30.22222222222222,1.7777777777777777,0,0,32,10.666666666666666,9.481481481481481,11.851851851851851,10.666666666666666,21.333333333333332,10.666666666666666,21.333333333333332,0,4.7407407407407405,5.925925925925926,0,0,0,9.481481481481481,11.851851851851851,226.451717728
6S,1.888697147,2003,2003-06-14,65.758876,-163.242411,13.333333333333334,1.3888888888888888,0,0,14.722222222222223,6.388888888888889,2.2222222222222223,6.388888888888889,6.388888888888889,8.61111111111111,6.388888888888889,8.61111111111111,0,4.444444444444445,1.9444444444444446,0,0,0,2.2222222222222223,6.388888888888889,27.8058191086111
7L,7.529907721,2003,2003-07-24,65.688141,-163.599955,1.9166666666666665,0.5,0,0.08333333333333333,2.5,1.3333333333333333,0,1.1666666666666665,1.3333333333333333,1.1666666666666665,1.3333333333333333,1.1666666666666665,0,0.41666666666666663,0.75,0.08333333333333333,0.08333333333333333,0,0,1.1666666666666665,18.8247693025
7M,8.219004922,2003,2003-07-24,65.63506,-163.877907,10.576923076923077,0.4230769230769231,0,0,11,5.076923076923077,0.8461538461538461,5.076923076923077,5.076923076923077,5.9230769230769225,5.076923076923077,5.9230769230769225,0,1.2692307692307692,3.3846153846153846,0.4230769230769231,0,0,0.8461538461538461,5.076923076923077,90.409054142
7P,9.350879729,2003,2003-07-24,65.680561,-163.631691,44.76190476190476,2.238095238095238,0,0,47,11.19047619047619,12.30952380952381,23.5,11.19047619047619,35.80952380952381,11.19047619047619,35.80952380952381,0,3.357142857142857,7.833333333333333,0,0,0,12.30952380952381,23.5,439.491347263
7S,7.669210598,2003,2003-07-06,65.524049,-163.578143,57.18181818181818,10.045454545454545,0,0,67.22727272727272,31.68181818181818,11.590909090909092,24.727272727272727,31.68181818181818,36.31818181818182,31.68181818181818,36.31818181818182,0,17.772727272727273,13.909090909090908,0,0,0,11.590909090909092,24.727272727272727,515.580112474636
7S-b,7.708965192,2003,2003-07-06,65.52384,-163.606714,66.92307692307692,8.076923076923077,0,0,75,35.76923076923077,11.538461538461537,27.69230769230769,35.76923076923077,39.230769230769226,35.76923076923077,39.230769230769226,0,19.615384615384613,16.153846153846153,0,0,0,11.538461538461537,27.69230769230769,578.1723894
8L,6.008856795,2003,2003-07-05,65.593282,-164.234142,47.755102040816325,4.244897959183674,0,0,52,20.16326530612245,8.489795918367347,23.346938775510203,20.16326530612245,31.836734693877553,20.16326530612245,31.836734693877553,0,15.918367346938776,3.183673469387755,1.0612244897959184,0,0,8.489795918367347,23.346938775510203,312.46055334
8L-b,6.299490485,2003,2003-07-12,65.765501,-164.170461,8.307692307692308,0.6923076923076923,0,0,9,3.230769230769231,0.9230769230769231,4.846153846153846,3.230769230769231,5.769230769230769,3.230769230769231,5.769230769230769,0,2.5384615384615383,0.6923076923076923,0,0,0,0.9230769230769231,4.846153846153846,56.695414365
8M,5.864589357,2003,2003-07-05,65.650392,-164.144583,4.615384615384616,1.3846153846153846,0,0,6,3.230769230769231,0.9230769230769231,1.8461538461538463,3.230769230769231,2.769230769230769,3.230769230769231,2.769230769230769,0,0.7692307692307693,1.5384615384615385,0.9230769230769231,0,0,0.9230769230769231,1.8461538461538463,35.187536142
8P,8.465054855,2003,2003-07-05,65.602643,-164.242945,14.35897435897436,1.641025641025641,0,0,16,8.615384615384615,3.282051282051282,4.102564102564102,8.615384615384615,7.384615384615384,8.615384615384615,7.384615384615384,0,2.8717948717948714,4.102564102564102,1.641025641025641,0,0,3.282051282051282,4.102564102564102,135.44087768
8S,5.723982007,2003,2003-06-15,65.72015,-164.175879,42.06521739130435,2.9347826086956523,0,0,45,16.630434782608695,5.869565217391305,22.5,16.630434782608695,28.369565217391305,16.630434782608695,28.369565217391305,0,14.673913043478262,1.9565217391304348,0,0,0,5.869565217391305,22.5,257.579190315
9L,9.432871816,2003,2003-06-30,65.753995,-163.796395,10.521739130434783,0.4782608695652174,0,0,11,4.543478260869565,1.9130434782608696,4.543478260869565,4.543478260869565,6.4565217391304355,4.543478260869565,6.4565217391304355,0,1.9130434782608696,2.1521739130434785,0.4782608695652174,0,0,1.9130434782608696,4.543478260869565,103.761589976
9L-b,7.696561058,2003,2003-06-30,65.733578,-163.738818,39.02439024390244,0.975609756097561,0,0,40,15.609756097560975,6.829268292682927,17.5609756097561,15.609756097560975,24.390243902439025,15.609756097560975,24.390243902439025,0,4.878048780487805,9.75609756097561,0.975609756097561,0,0,6.829268292682927,17.5609756097561,307.86244232
