FID,plot,other_name,gradient,park,project,SU,strata_LC,strata_GD,Observ1,Observ2,Observ3,elev,slope,inc_radiat,heat_loa,aspect,tree,subshrub,shrub,forb,gram,bryo,lichen,soil,duff,rock,water,richness,succ_p,succ_a,height,tissue,comment,lat,long,GPS_accur,Max_PDOP,Max_HDOP,Corr_Type,Rcvr_Type,GPS_Date,GPS_Time,Update_Sta,Feat_Name,Datafile,Unfilt_Pos,Filt_Pos,Data_Dicti,GPS_Height,Vert_Prec,Horz_Prec,Std_Dev,vascular,topo,HUC,Ecoreg_1,Ecoreg_2,Ecoreg_3,Eco_veg,Dep_type,Dep_Name,SecEcoR,Section,Subsect,Lithol,Physiogr,Limest,Beikman,Calcar,arcn_20100,arcn_20101,arcn_20102,arcn_20103,arcn_20104,arcn_20105,arcn_20106
10,04-S1, ,1,3,NOAT-E,Lplot,Sparse Vegetation,NW-block,Emily A Holt,Sarah Nunn, ,720,21,-0.854232,0.931152,300,0,0.01,0,1,0.01,0,0,0,0,99,0,2,0,0,0,0, ,68.220495,-162.100106,< 15 m, , , ,Garmin 12Map,7/8/04 0:00, , , , , , , , , , , , ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,248,178,95,153,163,90
11,04-S8, ,1,3,NOAT-E,Lplot,Sparse Vegetation,NW-block,Emily A Holt,Sarah Nunn, ,350,4,-0.622973,0.781227,110,0,2,0,4,0.01,0.01,0.01,10,0,70,15,3,0,0,0,0, ,68.214821,-161.832434,< 15 m, , , ,Garmin 12Map,7/8/04 0:00, , , , , , , , , , , , ,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,205,146,87,131,135,90
12,04-W12, ,1,3,NOAT-E,Lplot,Alder-willow,SW-block,Emily A Holt,Sarah Nunn, ,30,0,-0.676,0.237339,0,0,40,22,1,55,30,3,2,2,0,5,28,1.884704,2.022603,2.5,1, ,67.602414,-162.621903,< 15 m, , , ,Garmin 12Map,7/9/04 0:00, , , , , , , , , , , , ,5,3,2,8,241,1,78,1,3,19,55,23,11,2,310,0,2,131,154,116,56,50,47
13,04-W4, ,1,3,NOAT-E,Lplot,Alder-willow,SW-block,Emily A Holt,Sarah Nunn, ,155,0,-0.676,0.237339,0,0,36,31,62,32,35,0.01,0.01,4,0.01,1,17,1.829722,1.837269,0,1, ,67.896017,-160.570832,< 15 m, , , ,Garmin 12Map,7/11/04 0:00, , , , , , , , , , , , ,5,2,3,3,230,8,78,2,2,18,82,17,5,3,1174,1,3,133,149,112,72,60,55
14,10L, ,1,1,BELA-E,Lplot,Dwarf Shrub - Lichen Dominated,Block10,Emily A Holt,Jessy Ward, ,875,4,-0.657837,0.971997,274,0,1,0.01,17,35,35,13,7,4,0,0,13,2.004167,2.028571,7.009555,0, ,65.866765,-163.606038,<15m, , , ,Garmin 12Map,6/28/03 0:00, , , , , , , , , , , , ,1,10,3,5,276,1,32,2,6,10,25,15,12,3,1193,1,7,168,181,131,86,73,61
15,10L-b, ,1,1,BELA-E,Lplot,Dwarf Shrub - Lichen Dominated,Block10,Emily A Holt,Jessy Ward, ,625,1.75,-0.662039,0.349704,94,0,14,2,13,11,25,35,2,1,0.01,0,20,2.273232,2.151157,5.68827,0, ,66.006739,-163.265451,<15m, , , ,Garmin 12Map,6/28/03 0:00, , , , , , , , , , , , ,0,10,3,5,276,1,32,2,6,10,24,15,12,3,1192,0,5,171,197,147,86,73,64
16,10M, ,1,1,BELA-E,Lplot,Mesic/Dry Herbaceous,Block10,Emily A Holt,Jessy Ward, ,600,8,-0.711636,0.773865,66,0,1,0.01,3,70,11,15,0,1,0,5,15,1.838889,1.888095,5.58,0, ,65.878985,-163.691016,<15m, , , ,Garmin 12Map,6/28/03 0:00, , , , , , , , , , , , ,1,10,3,5,276,1,32,2,6,10,25,15,12,3,1193,1,5,187,204,148,96,82,70
17,10P, ,1,1,BELA-E,Lplot,Open Low Shrub - Dwarf Birch/Ericaceous,Block10,Emily A Holt,Jessy Ward, ,500,9.5,-0.493666,0.988763,218,0,4,1,80,1,2,15,30,3,5,0,19,2.066667,2.104545,4.007487,0, ,65.872741,-163.526677,<15m, , , ,Garmin 12Map,6/28/03 0:00, , , , , , , , , , , , ,1,10,3,5,276,1,32,2,6,10,25,15,12,3,1193,1,6,151,170,140,94,71,67
18,11L, ,1,1,BELA-E,Lplot,Dwarf Shrub - Lichen Dominated,Block11,Emily A Holt,Peter Neitlich, ,775,4,-0.676308,0.422874,75,0,17,0,18,15,15,25,10,15,1,5,15,2.181481,2.261806,4.682924,0, ,65.784953,-164.266441,<15m, , , ,Garmin 12Map,6/15/03 0:00, , , , , , , , , , , , ,1,10,3,5,276,3,106,2,6,10,25,15,12,3,1193,1,7,176,197,144,104,78,68
19,11L-b, ,1,1,BELA-E,Lplot,Dwarf Shrub - Lichen Dominated,Block11,Emily A Holt,Scott W Miller, ,700,5.5,-0.821535,0.999922,356,0,35,12,11,60,11,12.5,2,2.5,0,3.5,18,2.056173,2.244444,7.38,0, ,65.887461,-164.151648,<15m, , , ,Garmin 12Map,7/16/03 0:00, , , , , , , , , , , , ,1,10,3,5,276,8,32,2,6,10,24,15,12,3,1192,0,5,167,193,145,82,73,60
20,11M, ,1,1,BELA-E,Lplot,Mesic/Dry Herbaceous,Block11,Emily A Holt,Scott W Miller, ,250,1,-0.694418,0.879844,30,0,35,5,25,38,17,22,0.01,4,0,1.5,18,2.027836,2.164086,8.55,0, ,65.93227,-163.979536,<15m, , , ,Garmin 12Map,7/16/03 0:00, , , , , , , , , , , , ,2,10,3,5,276,1,32,2,4,9,23,11,16,1,1192,0,5,179,191,142,90,73,64
21,11P, ,1,1,BELA-E,Lplot,Open Low Shrub - Dwarf Birch/Ericaceous,Block11,Emily A Holt,Sandra ?, ,675,4.5,-0.781087,0.926602,344,0,3,2,1,80,10,4,0,1,0,0.01,17,2.106566,2.136957,5.796667,0, ,65.894269,-164.22197,<15m, , , ,Garmin 12Map,6/17/03 0:00, , , , , , , , , , , , ,2,10,3,5,276,1,32,2,6,10,25,15,12,3,1192,0,5,143,176,146,78,68,55
22,12L, ,1,1,BELA-E,Lplot,Dwarf Shrub - Lichen Dominated,Block12,Emily A Holt,Peter Neitlich, ,1350,3,-0.69544,0.931152,300,0,8,7,10,30,70,30,5,0,1,5,25,2.03288,2.095705,6.326667,0, ,65.783762,-164.486007,<15m, , , ,Garmin 12Map,6/15/03 0:00, , , , , , , , , , , , ,0,13,3,5,276,3,106,2,6,10,24,15,12,3,1192,0,5,182,204,162,93,80,65
23,12M, ,1,1,BELA-E,Lplot,Mesic/Dry Herbaceous,Block12,Emily A Holt,Sandra ?, ,800,2.75,-0.720046,0.484528,323,0,30,40,5,15,10,10,3,1,1,0.01,33,1.920823,2.097924,5.658758,0, ,65.897208,-164.733827,<15m, , , ,Garmin 12Map,6/18/03 0:00, , , , , , , , , , , , ,1,11,3,5,276,1,78,2,6,10,24,15,12,3,1194,0,5,150,173,150,79,63,57
24,12P, ,1,1,BELA-E,Lplot,Open Low Shrub - Dwarf Birch/Ericaceous,Block12,Emily A Holt,Scott W Miller, ,425,2,-0.68698,0.637582,62,0,35,14,8,50,8,17,1,3,0,0,22,2.14127,2.281004,7.469741,0, ,65.89046,-164.820435,<15m, , , ,Garmin 12Map,8/1/03 0:00, , , , , , , , , , , , ,2,11,3,5,276,1,78,2,6,10,24,15,12,3,1192,0,5,151,178,154,89,72,62
25,12S, ,1,1,BELA-E,Lplot,Sparse Vegetation,Block12,Emily A Holt,Peter Neitlich, ,1550,31,-1.296689,0.078073,33,0,5,10,1,3,1,70,15,0,75,0,39,2.033665,2.165374,9.579923,0, ,65.817863,-164.491773,<15m, , , ,Garmin 12Map,6/15/03 0:00, , , , , , , , , , , , ,1,10,3,5,276,1,106,2,6,10,71,7,12,2,1192,0,5,115,86,33,45,35,50
26,12S-b, ,1,1,BELA-E,Lplot,Sparse Vegetation,Block12,Emily A Holt,Scott W Miller, ,1625,1.5,-0.718096,0.91712,368,0,20,0,1.5,3.5,0,40,4,0,70,0,33,2.061359,2.277542,5.318271,0, ,65.826693,-164.498001,<15m, , , ,Garmin 12Map,7/12/03 0:00, , , , , , , , , , , , ,0,10,3,5,276,1,106,2,6,10,71,7,12,2,1192,0,6,171,133,54,62,51,63
27,13L, ,1,1,BELA-E,Lplot,Dwarf Shrub - Lichen Dominated,Block13,Emily A Holt,Scott W Miller, ,700,1,-0.697132,0.766416,22,0,17,16,9,50,9.5,16,0.01,3.5,0,5.5,23,2.090171,2.234402,5.098156,0, ,65.919562,-163.831553,<15m, , , ,Garmin 12Map,7/16/03 0:00, , , , , , , , , , , , ,2,10,3,5,276,1,32,2,6,10,24,15,12,3,1192,0,4,174,199,145,87,74,59
28,13L-b, ,1,1,BELA-E,Lplot,Dwarf Shrub - Lichen Dominated,Block13,Emily A Holt,Scott W Miller, ,55,2,-0.647776,0.679536,248,0,20,25,11,45,13,16,2,1.5,0,4.5,21,2.172619,2.377126,9.58,0, ,65.873342,-163.81458,<15m, , , ,Garmin 12Map,7/16/03 0:00, , , , , , , , , , , , ,3,10,3,5,276,1,32,2,6,10,24,15,12,3,1193,1,5,167,187,149,89,77,59
29,13M, ,1,1,BELA-E,Lplot,Mesic/Dry Herbaceous,Block13,Emily A Holt,Sandra ?, ,100,0,-0.676,0.237339,0,0,4,2,6,53,20,15,0,3,0,1,20,2.100331,2.152521,7.06,0, ,66.01912,-164.028728,<15m, , , ,Garmin 12Map,6/17/03 0:00, , , , , , , , , , , , ,3,10,3,5,276,8,78,2,4,9,23,11,16,1,1192,0,6,155,187,146,91,77,61
30,13P, ,1,1,BELA-E,Lplot,Open Low Shrub - Dwarf Birch/Ericaceous,Block13,Emily A Holt,Scott W Miller, ,450,5,-0.591615,0.901897,236,0,30,41,6,60,4,2,3,5,0,3,12,1.965278,2.128472,9.2,0, ,65.89951,-163.855339,<15m, , , ,Garmin 12Map,7/16/03 0:00, , , , , , , , , , , , ,2,10,3,5,276,1,32,2,6,10,24,15,12,3,1192,0,5,143,180,161,86,61,57
31,14M, ,1,1,BELA-E,Lplot,Mesic/Dry Herbaceous,Block14,Emily A Holt,Sandra ?, ,300,0,-0.676,0.237339,0,0,1,1,2,38,50,8,2,1,0,2,19,2.023932,2.201111,6.215172,0, ,65.944372,-164.342712,<15m, , , ,Garmin 12Map,6/17/03 0:00, , , , , , , , , , , , ,3,10,3,5,276,2,32,2,6,10,24,15,12,3,1192,0,4,166,190,148,94,73,62
32,14P, ,1,1,BELA-E,Lplot,Open Low Shrub - Dwarf Birch/Ericaceous,Block14,Emily A Holt,Sandra ?, ,260,3,-0.64375,0.050067,102,0,8,8,5,65,7,7,1,1,0,0,22,2.097902,2.202277,5.805,0, ,65.972015,-164.260079,<15m, , , ,Garmin 12Map,6/17/03 0:00, , , , , , , , , , , , ,3,10,3,5,276,2,78,2,4,9,23,11,16,1,1192,0,5,150,186,150,94,73,66
33,15L, ,1,1,BELA-E,Lplot,Dwarf Shrub - Lichen Dominated,Block15,Emily A Holt,Scott W Miller, ,725,4,-0.615974,0.654511,116,0,25,10,6,33,4,30,1.5,2,13,1,34,2.087672,2.20144,8.54,0, ,66.001546,-164.575233,<15m, , , ,Garmin 12Map,7/25/03 0:00, , , , , , , , , , , , ,1,10,3,5,276,1,78,2,6,10,24,15,12,3,1192,0,6,183,191,153,95,87,76
34,15M, ,1,1,BELA-E,Lplot,Mesic/Dry Herbaceous,Block15,Emily A Holt,Scott W Miller, ,150,2,-0.7172,0.695942,336,0,36,11,5,47,11,15,0,2,0,0,21,2.177563,2.246058,9.255,0, ,66.068875,-164.756888,<15m, , , ,Garmin 12Map,7/20/03 0:00, , , , , , , , , , , , ,3,11,3,5,258,1,78,2,4,9,23,11,16,1,1003,2,5,167,196,155,99,87,65
35,15P, ,1,1,BELA-E,Lplot,Open Low Shrub - Dwarf Birch/Ericaceous,Block15,Emily A Holt,Scott W Miller, ,375,3,-0.630603,0.654511,116,0,37,12,14,30,4.5,37,2,3,1,0,36,1.993651,2.123292,8.23197,0, ,66.052911,-164.513757,<15m, , , ,Garmin 12Map,7/25/03 0:00, , , , , , , , , , , , ,2,10,3,5,276,2,106,2,6,10,24,15,12,3,1192,0,5,159,185,160,89,72,58
36,15S, ,1,1,BELA-E,Lplot,Sparse Vegetation,Block15,Emily A Holt,Scott W Miller, ,825,7,-0.649653,0.833469,85,0,11,2,1,2,1,57,0,1,70,0,37,1.85961,2.105773,8.958138,0, ,66.004937,-164.58042,<15m, , , ,Garmin 12Map,8/1/03 0:00, , , , , , , , , , , , ,0,10,3,5,276,1,78,2,6,10,71,7,12,2,1194,0,6,247,178,56,77,59,68
37,15S-b, ,1,1,BELA-E,Lplot,Sparse Vegetation,Block15,Emily A Holt,Scott W Miller, ,875,6,-0.655143,0.366679,84,0,18,1.5,0.01,2,1,60,0.01,0.01,60,0,37,1.97998,2.167308,9.995207,0, ,66.003885,-164.579503,<15m, , , ,Garmin 12Map,8/1/03 0:00, , , , , , , , , , , , ,0,10,3,5,276,1,78,2,6,10,71,7,12,2,1194,0,6,215,183,79,77,62,68
38,16M, ,1,1,BELA-E,Lplot,Mesic/Dry Herbaceous,Block16,Emily A Holt,Sandra ?, ,125,0,-0.676,0.237339,0,0,2,0.01,0,81,10,7,0.01,1,0,1,19,2.001584,2.149649,8.596877,0, ,66.060271,-164.903981,<15m, , , ,Garmin 12Map,6/18/03 0:00, , , , , , , , , , , , ,3,11,3,5,258,2,78,2,4,4,19,11,16,1,1003,2,6,191,198,136,91,82,68
39,16P, ,1,1,BELA-E,Lplot,Open Low Shrub - Dwarf Birch/Ericaceous,Block16,Emily A Holt,Sandra ?, ,150,3.5,-0.609582,0.244911,134,0,13,12,1,60,7,7,0,1,0,0,21,1.954906,2.089599,8.3825,0, ,65.981623,-165.091032,<15m, , , ,Garmin 12Map,6/18/03 0:00, , , , , , , , , , , , ,3,11,3,5,276,2,78,2,4,4,19,11,16,1,1003,2,6,159,183,158,88,72,56
40,17M, ,1,1,BELA-E,Lplot,Mesic/Dry Herbaceous,Block17,Emily A Holt,Scott W Miller, ,75,0.01,-0.67607,0.090347,302,0,16,4,3,65,28,17,1,3,0,2,20,2.221065,2.247222,9.21,0, ,66.244662,-165.174755,<15m, , , ,Garmin 12Map,7/20/03 0:00, , , , , , , , , , , , ,3,11,3,5,258,2,113,2,4,4,18,11,15,1,1003,2,5,203,210,140,103,97,82
41,17P, ,1,1,BELA-E,Lplot,Open Low Shrub - Dwarf Birch/Ericaceous,Block17,Emily A Holt,Scott W Miller, ,100,3,-0.614016,0.03255,208,0,45,35,11,25,5,7,0,2,0,0,20,2.055983,2.18941,7.63,0, ,66.243417,-165.141072,<15m, , , ,Garmin 12Map,7/20/03 0:00, , , , , , , , , , , , ,3,11,3,5,258,2,113,2,4,4,18,11,15,1,1003,2,5,143,172,163,81,62,54
42,18M, ,1,1,BELA-E,Lplot,Mesic/Dry Herbaceous,Block18,Emily A Holt,Scott W Miller, ,100,1.5,-0.648181,0.992188,130,0,35,2.5,9.5,40,16,27,0,0,0,0,14,2.047619,2.201754,9.3925,0, ,66.176813,-165.081645,<15m, , , ,Garmin 12Map,7/20/03 0:00, , , , , , , , , , , , ,3,11,3,5,258,2,113,2,4,4,19,11,16,1,1003,2,5,167,189,153,96,85,63
43,18P, ,1,1,BELA-E,Lplot,Open Low Shrub - Dwarf Birch/Ericaceous,Block18,Emily A Holt,Scott W Miller, ,250,3.5,-0.68973,0.773865,66,0,25,25,9,50,6,12,1,2.5,0,0,29,2.184623,2.162616,9.03,0, ,66.339376,-164.622048,<15m, , , ,Garmin 12Map,7/31/03 0:00, , , , , , , , , , , , ,3,11,3,5,258,1,120,2,4,7,20,33,9,2,304,0,5,147,169,156,82,65,52
44,19M, ,1,1,BELA-E,Lplot,Mesic/Dry Herbaceous,Block19,Emily A Holt,Scott W Miller, ,100,3,-0.756945,0.166542,360,0,40,5,6,45,27,12,0,2.5,0,0,14,1.972222,2.179012,10.065,0, ,66.180659,-164.594883,<15m, , , ,Garmin 12Map,7/20/03 0:00, , , , , , , , , , , , ,3,10,3,5,258,2,78,2,4,9,23,11,16,1,1003,2,5,183,191,144,93,78,64
45,19P, ,1,1,BELA-E,Lplot,Open Low Shrub - Dwarf Birch/Ericaceous,Block19,Emily A Holt,Scott W Miller, ,150,3.5,-0.610778,0.332917,182,0,55,27,8,42,7,17,0.01,3,0,0.01,24,2.030045,2.169553,9.01,0, ,66.265953,-164.403228,<15m, , , ,Garmin 12Map,7/31/03 0:00, , , , , , , , , , , , ,3,10,3,5,258,2,52,2,4,7,20,33,9,2,304,0,6,151,187,162,85,70,54
46,1L, ,1,1,BELA-E,Lplot,Dwarf Shrub - Lichen Dominated,Block1,Emily A Holt,Peter Neitlich, ,1450,9,-0.874079,0.836742,338,0,30,20,15,15,15,45,1,0.01,30,1,39,2.156472,2.217417,5.505,0, ,65.369902,-163.506802,<15m, , , ,Garmin 12Map,6/13/03 0:00, , , , , , , , , , , , ,1,13,3,5,276,3,24,2,6,3,16,5,13,2,509,0,1,203,183,96,94,80,79
47,1M, ,1,1,BELA-E,Lplot,Mesic/Dry Herbaceous,Block1,Emily A Holt,Peter Neitlich, ,1250,2,-0.636558,0.471249,188,0,17,8,10,45,40,40,0,5,0,10,22,2.18953,2.256389,7.978549,0, ,65.430102,-163.42405,<15m, , , ,Garmin 12Map,6/19/03 0:00, , , , , , , , , , , , ,1,13,3,5,276,3,32,2,6,12,35,1,9,2,509,0,6,179,202,146,95,87,68
48,1P, ,1,1,BELA-E,Lplot,Open Low Shrub - Dwarf Birch/Ericaceous,Block1,Emily A Holt,Peter Neitlich, ,550,3,-0.731953,0.816671,330,0,35,15,2,30,20,25,0,5,0,2,18,2.066297,2.107521,7.4775,0, ,65.354362,-163.853338,<15m, , , ,Garmin 12Map,6/19/03 0:00, , , , , , , , , , , , ,2,13,3,5,276,1,128,2,6,3,16,5,13,2,1194,0,7,156,177,140,85,75,67
49,1S, ,1,1,BELA-E,Lplot,Sparse Vegetation,Block1,Emily A Holt,Scott W Miller, ,1250,20,-1.238088,0.299994,358,0,35,1,8,4,10,40,3,1,19,6,32,2.086297,2.184056,4.670173,0, ,65.334427,-163.673024,<15m, , , ,Garmin 12Map,7/12/03 0:00, , , , , , , , , , , , ,1,13,3,5,276,3,24,2,6,3,17,6,13,2,1194,0,1,119,107,146,255,231,255
50,1S-b, ,1,1,BELA-E,Lplot,Sparse Vegetation,Block1,Emily A Holt,Scott W Miller, ,2300,23,-1.11571,0.497787,34,0,25,0,2,12,8,27,1,2,45,0,45,2.124087,2.255331,6.333138,0, ,65.307616,-163.71419,<15m, , , ,Garmin 12Map,7/12/03 0:00, , , , , , , , , , , , ,1,13,3,5,276,3,24,2,6,3,17,6,13,2,1194,0,1,177,145,94,137,118,126
51,20P, ,1,1,BELA-E,Lplot,Open Low Shrub - Dwarf Birch/Ericaceous,Block20,Emily A Holt,Scott W Miller, ,300,1.5,-0.665144,0.999296,268,0,37,12,25,48,9,20,0,3,0,0.01,24,1.993386,2.144089,10.54,0, ,66.341844,-164.20328,<15m, , , ,Garmin 12Map,7/31/03 0:00, , , , , , , , , , , , ,3,10,3,5,258,1,120,2,4,7,20,33,9,2,304,0,6,155,179,154,83,74,56
52,21M, ,1,1,BELA-E,Lplot,Mesic/Dry Herbaceous,Block21,Emily A Holt,Scott W Miller, ,250,1,-0.68569,0.186766,308,0,30,5,11,60,10,16,0.01,3,0,1,13,2.498299,2.402494,11.21,0, ,66.41995,-164.401726,<15m, , , ,Garmin 12Map,7/31/03 0:00, , , , , , , , , , , , ,3,10,3,5,258,2,120,2,4,7,20,33,9,2,304,0,6,164,190,157,88,74,64
53,21P, ,1,1,BELA-E,Lplot,Open Low Shrub - Dwarf Birch/Ericaceous,Block21,Emily A Holt,Scott W Miller, ,225,2,-0.724341,0.506638,12,0,27,17,15,58,12,15,0.01,0,0,0.01,18,1.997475,2.143162,10.475,0, ,66.383847,-164.243385,<15m, , , ,Garmin 12Map,7/31/03 0:00, , , , , , , , , , , , ,3,10,3,5,258,2,120,2,4,7,20,33,9,2,304,0,5,151,191,160,89,68,60
54,2L, ,1,1,BELA-E,Lplot,Dwarf Shrub - Lichen Dominated,Block2,Emily A Holt,Peter Neitlich, ,1600,9,-0.740606,0.931152,300,0,30,10,15,30,60,10,1,5,10,3,36,1.998366,2.240741,4.553863,0, ,65.364715,-163.339153,<15m, , , ,Garmin 12Map,6/13/03 0:00, , , , , , , , , , , , ,2,13,3,5,276,3,24,2,6,3,16,5,13,2,509,0,1,166,167,119,78,73,58
55,2M, ,1,1,BELA-E,Lplot,Mesic/Dry Herbaceous,Block2,Emily A Holt,Peter Neitlich, ,1100,2,-0.639031,0.969003,230,0,20,5,3,30,50,35,0,3,0,3,20,1.933664,2.006746,8.57,0, ,65.44355,-162.923706,<15m, , , ,Garmin 12Map,6/19/03 0:00, , , , , , , , , , , , ,2,14,3,5,276,6,32,2,6,10,50,15,10,3,304,0,1,171,189,143,87,80,66
56,2P, ,1,1,BELA-E,Lplot,Open Low Shrub - Dwarf Birch/Ericaceous,Block2,Emily A Holt,Scott W Miller, ,1475,4,-0.69891,0.637582,62,0,20,10,1,60,8,11,2,1,0,8.5,24,2.201852,2.258333,6.378542,0, ,65.369731,-163.102319,<15m, , , ,Garmin 12Map,7/11/03 0:00, , , , , , , , , , , , ,2,14,3,5,276,3,24,2,6,3,16,5,13,2,1194,0,1,188,181,115,73,70,52
57,2S, ,1,1,BELA-E,Lplot,Sparse Vegetation,Block2,Emily A Holt,Peter Neitlich, ,2300,11,-0.461294,0.743581,200,0,15,0,2,10,0.01,75,10,5,60,0,35,2.185888,2.1997,7.695361,0, ,65.279474,-162.874745,<15m, , , ,Garmin 12Map,6/13/03 0:00, , , , , , , , , , , , ,0,14,3,5,276,3,110,2,6,3,15,7,13,2,509,0,6,255,228,78,111,96,113
58,2S-b, ,1,1,BELA-E,Lplot,Sparse Vegetation,Block2,Emily A Holt,Scott W Miller, ,1250,1.5,-0.646712,0.997184,136,0,18,10,0,1,4,68,0,0.5,80,0.01,44,2.051209,2.140134,6.089671,0, ,65.448754,-163.097658,<15m, , , ,Garmin 12Map,7/11/03 0:00, , , , , , , , , , , , ,2,14,3,5,276,1,32,2,6,12,33,34,18,2,303,0,1,188,149,79,94,80,73
